id,name,EditableSynonymList_graph_id
,NAP1,esl_20200604115458937955
,ADMIO,esl_20200604115458937988
,ADMIO1,esl_20200604115458937988
,APRF,esl_20200604115458937988
,HIES,esl_20200604115458937988
,hHR54,esl_20200604115458938015
,HR54,esl_20200604115458938015
,hRAD54,esl_20200604115458938015
,RAD54A,esl_20200604115458938015
,CD30,esl_20200604115458938042
,D1S166E,esl_20200604115458938042
,Ki-1,esl_20200604115458938042
,ACRDYS1,esl_20200604115458938068
,ADOHR,esl_20200604115458938068
,CAR,esl_20200604115458938068
,CNC,esl_20200604115458938068
,CNC1,esl_20200604115458938068
,PKR1,esl_20200604115458938068
,PPNAD1,esl_20200604115458938068
,PRKAR1,esl_20200604115458938068
,TSE1,esl_20200604115458938068
,Dyna III,esl_20200604115458938101
,DFNA39,esl_20200604115458938124
,DGI1,esl_20200604115458938124
,DMP3,esl_20200604115458938124
,DPP,esl_20200604115458938124
,DSP,esl_20200604115458938124
,EDF,esl_20200604115458938151
,FRP,esl_20200604115458938151
,CJS,esl_20200604115458938175
,HPE9,esl_20200604115458938175
,PHS2,esl_20200604115458938175
,THP1,esl_20200604115458938175
,THP2,esl_20200604115458938175
,LINC00079,esl_20200604115458938203
,MIR1204HG,esl_20200604115458938203
,NCRNA00079,esl_20200604115458938203
,onco-lncRNA-100,esl_20200604115458938203
,FGF-14,esl_20200604115458938230
,FHF-4,esl_20200604115458938230
,FHF4,esl_20200604115458938230
,SCA27,esl_20200604115458938230
,BIA1,esl_20200604115458938257
,RNF92,esl_20200604115458938257
,ASXH2,esl_20200604115458938282
,SHAPNS,esl_20200604115458938282
,Ga55,esl_20200604115458938307
,HSU24186,esl_20200604115458938331
,CCBR1,esl_20200604115458938355
,xCT,esl_20200604115458938355
,CC-CKR-2,esl_20200604115458938402
,CCR-2,esl_20200604115458938402
,CCR2A,esl_20200604115458938402
,CCR2B,esl_20200604115458938402
,CD192,esl_20200604115458938402
,CKR2,esl_20200604115458938402
,CKR2A,esl_20200604115458938402
,CKR2B,esl_20200604115458938402
,CMKBR2,esl_20200604115458938402
,MCP-1-R,esl_20200604115458938402
,FAM46C,esl_20200604115458938439
,COM1,esl_20200604115458938463
,CTIP,esl_20200604115458938463
,JWDS,esl_20200604115458938463
,RIM,esl_20200604115458938463
,SAE2,esl_20200604115458938463
,SCKL2,esl_20200604115458938463
,FAM123B,esl_20200604115458938492
,OSCS,esl_20200604115458938492
,WTX,esl_20200604115458938492
,ADA2,esl_20200604115458938518
,ADA2A,esl_20200604115458938518
,hADA2,esl_20200604115458938518
,KL04P,esl_20200604115458938518
,TADA2L,esl_20200604115458938518
,KIAP,esl_20200604115458938547
,LIVIN,esl_20200604115458938547
,ML-IAP,esl_20200604115458938547
,MLIAP,esl_20200604115458938547
,RNF50,esl_20200604115458938547
,TCF-4,esl_20200604115458938575
,TCF4,esl_20200604115458938575
,RYD5,esl_20200604115458938624
,ARO,esl_20200604115458938649
,ARO1,esl_20200604115458938649
,CPV1,esl_20200604115458938649
,CYAR,esl_20200604115458938649
,CYP19,esl_20200604115458938649
,CYPXIX,esl_20200604115458938649
,P-450AROM,esl_20200604115458938649
,ARMD5,esl_20200604115458938679
,CKN2,esl_20200604115458938679
,COFS,esl_20200604115458938679
,COFS1,esl_20200604115458938679
,CSB,esl_20200604115458938679
,CSB-PGBD3,esl_20200604115458938679
,POF11,esl_20200604115458938679
,RAD26,esl_20200604115458938679
,UVSS1,esl_20200604115458938679
,GRAF,esl_20200604115458938711
,GRAF1,esl_20200604115458938711
,OPHN1L,esl_20200604115458938711
,OPHN1L1,esl_20200604115458938711
,hSGT2,esl_20200604115458938737
,hSgt2p,esl_20200604115458938737
,L2,esl_20200604115458938737
,SGT2,esl_20200604115458938737
,dgt5,esl_20200604115458938764
,KIAA0841,esl_20200604115458938764
,B37,esl_20200604115458938789
,CHEDDA,esl_20200604115458938789
,D12S755E,esl_20200604115458938789
,DRPLA,esl_20200604115458938789
,HRS,esl_20200604115458938789
,NOD,esl_20200604115458938789
,FBP,esl_20200604115458938817
,FUBP,esl_20200604115458938817
,hDH V,esl_20200604115458938817
,GRF2,esl_20200604115458938843
,RAS-GRF2,esl_20200604115458938843
,NFAT1,esl_20200604115458938870
,NFATP,esl_20200604115458938870
,12CC4,esl_20200604115458938895
,hFKH1B,esl_20200604115458938895
,HSPC215,esl_20200604115458938895
,MFH,esl_20200604115458938895
,QRF1,esl_20200604115458938895
,MMP-14,esl_20200604115458938923
,MMP-X1,esl_20200604115458938923
,MT-MMP,esl_20200604115458938923
,MT-MMP 1,esl_20200604115458938923
,MT1-MMP,esl_20200604115458938923
,MT1MMP,esl_20200604115458938923
,MTMMP1,esl_20200604115458938923
,WNCHRS,esl_20200604115458938923
,GAKIN,esl_20200604115458938954
,BTBD12,esl_20200604115458938978
,FANCP,esl_20200604115458938978
,MUS312,esl_20200604115458938978
,LIBC,esl_20200604115458939003
,PPAC,esl_20200604115458939003
