id,Author_graph_id,LiteratureReference_graph_id
,author_hechtman_jf,ref_29920189
,author_tuch_bb,ref_29920189
,author_abdel_wahab_o,ref_29920189
,author_mughal_ti,ref_29920189
,author_shin_yk,ref_29190909
,author_jeong_hm,ref_29190909
,author_an_j,ref_29190909
,author_hong_s,ref_29190909
,author_song_k,ref_29190909
,author_jeon_s,ref_29190909
,author_oh_e,ref_29190909
,author_kim_js,ref_29190909
,author_choi_yl,ref_29190909
,author_choi_js,ref_29190909
,author_park_ck,ref_29190909
,author_han_j,ref_29190909
,author_kwon_mj,ref_29190909
,author_pollack_jr,ref_29190909
,author_kim_rn,ref_29190909
,author_carmeille_r,ref_25701430
,author_degrelle_sa,ref_25701430
,author_bouter_a,ref_25701430
,author_brisson_ar,ref_25701430
,author_evain_brion_d,ref_25701430
,author_bouvet_f,ref_25701430
,author_gounou_c,ref_25701430
,author_wei_b,ref_29802377
,author_guo_c,ref_29802377
,author_wang_j,ref_29802377
,author_chen_c,ref_29802377
,author_liu_s,ref_29802377
,author_sun_mz,ref_29802377
,author_sun_x,ref_29802377
,author_xue_g,ref_19461527
,author_fu_cg,ref_19461527
,author_yan_hl,ref_19461527
,author_ding_fx,ref_19461527
,author_hao_lq,ref_19461527
,author_mei_q,ref_19461527
,author_sun_sh,ref_19461527
,author_huang_jj,ref_19461527
,author_heim_s,ref_29633253
,author_davidson_b,ref_29633253
,author_panagopoulos_i,ref_29633253
,author_micci_f,ref_29633253
,author_agostini_a,ref_29633253
,author_goran_trope,ref_29633253
,author_brunetti_m,ref_29633253
,author_jaehning_ja,ref_20060942
,author_kiesel_l,ref_15073116
,author_kersting_c,ref_15073116
,author_fischer_rj,ref_15073116
,author_wulfing_c,ref_15073116
,author_poremba_c,ref_15073116
,author_bocker_w,ref_15073116
,author_diallo_r,ref_15073116
,author_tio_j,ref_15073116
,author_wulfing_p,ref_15073116
,author_wulfing_p,ref_17611649
,author_eltze_e,ref_17611649
,author_lelle_r,ref_17611649
,author_bertolin_m,ref_17611649
,author_maggino_t,ref_17611649
,author_korsching_e,ref_17611649
,author_song_w,ref_30472601
,author_chen_y,ref_30472601
,author_jiang_q,ref_30472601
,author_zhang_l,ref_30472601
,author_keremu_a,ref_30430228
,author_zou_x,ref_30430228
,author_aimaiti_a,ref_30430228
,author_liang_z,ref_30430228
,author_cosenza_m,ref_30096875
,author_pozzi_s,ref_30096875
,author_guais_a,ref_16549277
,author_guellaen_g,ref_16549277
,author_solhonne_b,ref_16549277
,author_jouault_h,ref_16549277
,author_bulle_f,ref_16549277
,author_siegrist_s,ref_16549277
,author_wei_w,ref_25228972
,author_fang_dc,ref_25228972
,author_wang_xw,ref_25228972
,author_zhao_xy,ref_25228972
,author_guo_h,ref_25228972
,author_wang_wq,ref_25228972
,author_roth_jj,ref_25040262
,author_harding_bn,ref_25040262
,author_rorke_adams_lb,ref_25040262
,author_santi_m,ref_25040262
,author_biegel_ja,ref_25040262
,author_tooke_ls,ref_25040262
,author_pollock_an,ref_25040262
,author_robillard_l,ref_29669295
,author_barthelet_a,ref_29669295
,author_simmons_ad,ref_29669295
,author_zhao_x,ref_29669295
,author_hu_hm,ref_29669295
,author_raponi_m,ref_29669295
,author_shah_kn,ref_29669295
,author_harding_tc,ref_29669295
,author_kaushik_s,ref_29669295
,author_bandyopadhyay_s,ref_29669295
,author_lin_kk,ref_29669295
,author_liu_x,ref_27811365
,author_hu_s,ref_27811365
,author_cheng_s,ref_27811365
,author_yang_y,ref_27811365
,author_cui_l,ref_27811365
,author_messadi_d,ref_27811365
,author_talukdar_s,ref_29572229
,author_fisher_pb,ref_29572229
,author_sarkar_d,ref_29572229
,author_das_sk,ref_29572229
,author_bhoopathi_p,ref_29572229
,author_shen_xn,ref_29572229
,author_emdad_l,ref_29572229
,author_pradhan_ak,ref_29572229
,author_chen_w,ref_29118922
,author_ran_q,ref_29118922
,author_zhang_q,ref_29118922
,author_cao_f,ref_29118922
,author_yao_s,ref_29118922
,author_he_y,ref_29118922
,author_han_c,ref_29118922
,author_van_loo,ref_24246475
,author_beyaert_r,ref_24246475
,author_catrysse_l,ref_24246475
,author_vereecke_l,ref_24246475
,author_zhang_f,ref_23134590
,author_yang_l,ref_23134590
,author_li_y,ref_23134590
,author_song_yx,ref_27891816
,author_zhao_tt,ref_27891816
,author_xu_h,ref_27891816
,author_wang_zn,ref_27891816
,author_xu_yy,ref_27891816
,author_xu_hm,ref_27891816
,author_miao_zf,ref_27891816
,author_mendonca_l,ref_28288569
,author_trindade_a,ref_28288569
,author_djokovic_d,ref_28288569
,author_duarte_a,ref_28288569
,author_gigante_j,ref_28288569
,author_ouazzani_s,ref_27755532
,author_verset_g,ref_27755532
,author_drouillard_a,ref_27755532
,author_marechal_r,ref_27755532
,author_demetter_p,ref_27755532
,author_bachet_jb,ref_27755532
,author_van_laethem,ref_27755532
,author_calomme_a,ref_27755532
,author_puleo_f,ref_27755532
,author_villagra_a,ref_30425065
,author_pabon_saldana_m,ref_30425065
,author_fonseca_r,ref_30425065
,author_deng_s,ref_30425065
,author_sotomayor_em,ref_30425065
,author_achille_a,ref_30425065
,author_quayle_sn,ref_30425065
,author_sahakian_e,ref_30425065
,author_jones_ss,ref_30425065
,author_pinilla_ibarz_j,ref_30425065
,author_powers_jj,ref_30425065
,author_maharaj_k,ref_30425065
,author_lin_m,ref_25132264
,author_li_l,ref_25132264
,author_zhang_s,ref_25132264
,author_yang_h,ref_25132264
,author_he_q,ref_25132264
,author_zheng_d,ref_25132264
,author_zhu_b,ref_25132264
,author_shao_g,ref_25132264
,author_yan_k,ref_25132264
,author_li_y,ref_29021135
,author_sang_y,ref_29021135
,author_hou_y,ref_29021135
,author_ge_j,ref_29021135
,author_lv_d,ref_29021135
,author_zhang_w,ref_29021135
,author_jia_f,ref_29021135
,author_alvarez_aa,ref_29021135
,author_gao_wq,ref_29021135
,author_cheng_sy,ref_29021135
,author_feng_h,ref_29021135
,author_hu_b,ref_29021135
,author_hordijk_pl,ref_23129763
,author_anthony_ec,ref_23129763
,author_geerts_d,ref_23129763
,author_de_kreuk,ref_23129763
,author_van_den,ref_20196086
,author_duijm_ej,ref_20196086
,author_kros_jm,ref_20196086
,author_sacchetti_a,ref_20196086
,author_gravendeel_la,ref_20196086
,author_sillevis_smitt,ref_20196086
,author_french_pj,ref_20196086
,author_hoogenraad_cc,ref_20196086
,author_bralten_lb,ref_20196086
