id,EditableStatement_graph_id,LiteratureReference_graph_id
,es_20200422164000681020,ref_28622181
,es_20200422164000681020,ref_26990025
,es_20200422163938738512,ref_12699629
,es_20200422163938738512,ref_29667179
,es_20200422163938738512,ref_20930030
,es_20200422163936026977,ref_23657489
,es_20200422163936026977,ref_25771201
,es_20200422163936026977,ref_22139084
,es_20200422163936026977,ref_24810778
,es_20200422163958362843,ref_27624885
,es_20200422163958362843,ref_30486409
,es_20200422163958362843,ref_30267745
,es_20200422163940154555,ref_23850494
,es_20200422163940154555,ref_20383194
,es_20200422163940154555,ref_24141881
,es_20200422163940154555,ref_15855230
,es_20200422163940154555,ref_24854081
,es_20200422163940154555,ref_27924011
,es_20200422164005206776,ref_29327245
,es_20200422164005206776,ref_30020192
,es_20200422164005206776,ref_28314603
,es_20200422164008934883,ref_27863199
,es_20200422164006760356,ref_30009824
,es_20200422164006760356,ref_29786110
,es_20200422164006760356,ref_28074862
,es_20200422164006760356,ref_29428231
,es_20200422164006760356,ref_27019113
,es_20200422163959739489,ref_22566377
,es_20200422163959739489,ref_20631354
,es_20200422164010433846,ref_25552927
,es_20200422164009449711,ref_23169667
,es_20200422164009449711,ref_22822152
,es_20200422164015610008,ref_30234477
,es_20200422164015610008,ref_29316541
,es_20200422164012395024,ref_28534518
,es_20200422164012395024,ref_29360538
,es_20200422164024011237,ref_24569458
,es_20200422164024011237,ref_17535970
,es_20200422164010933062,ref_12077123
,es_20200422164010933062,ref_29242214
,es_20200422164021557401,ref_22895193
,es_20200422164013236967,ref_22131303
,es_20200422164013236967,ref_26035357
,es_20200422164013236967,ref_23506875
,es_20200422164016482164,ref_28357211
,es_20200422164016482164,ref_22035865
,es_20200422164016482164,ref_26452386
,es_20200422164016482164,ref_25344755
,es_20200422164019419702,ref_30272273
,es_20200422164019419702,ref_11001584
,es_20200422164019419702,ref_28487292
,es_20200422164019419702,ref_20814245
,es_20200422164014635477,ref_27855725
,es_20200422164014635477,ref_31290993
,es_20200422164018474163,ref_25368431
,es_20200422164018474163,ref_23393200
,es_20200422164028566053,ref_27458872
,es_20200422164028566053,ref_30755307
,es_20200422164028566053,ref_26404134
,es_20200422164028566053,ref_25733852
,es_20200422164022180015,ref_28026024
,es_20200422164022180015,ref_30200105
,es_20200422164022180015,ref_28866366
,es_20200422164023545887,ref_26478441
,es_20200422164030507525,ref_21412013
,es_20200422164030507525,ref_20089461
,es_20200422164030507525,ref_21704205
,es_20200422164042246817,ref_23904233
,es_20200422164042246817,ref_28521633
,es_20200422164042246817,ref_31758531
,es_20200422164035405627,ref_20301463
,es_20200422164035405627,ref_26042218
,es_20200422164040410047,ref_28599479
,es_20200422164040410047,ref_22233676
,es_20200422164040410047,ref_24143113
,es_20200422164040410047,ref_29203461
,es_20200422164055789057,ref_16108038
,es_20200422164055789057,ref_27331624
,es_20200422164055789057,ref_21103065
,es_20200422164055789057,ref_18292776
,es_20200422164032691144,ref_23787160
,es_20200422164032691144,ref_19308293
,es_20200422164032691144,ref_31586103
,es_20200422164032691144,ref_24085226
,es_20200422164032691144,ref_30718100
,es_20200422164032691144,ref_29950896
,es_20200422164347185385,ref_21862631
,es_20200422164036289977,ref_29731168
,es_20200422164036289977,ref_29975928
,es_20200422164036289977,ref_29512788
,es_20200422164036289977,ref_29845201
,es_20200422164036289977,ref_22832581
,es_20200422164043508426,ref_26687232
,es_20200422164043508426,ref_19621416
,es_20200422164043508426,ref_27347167
,es_20200422164044879729,ref_29240581
,es_20200422164044879729,ref_29581427
,es_20200422164044879729,ref_23178488
,es_20200422164044879729,ref_27329103
,es_20200422164044879729,ref_28244856
,es_20200422164049246239,ref_28516957
,es_20200422164049246239,ref_21047783
,es_20200422164046972616,ref_27974047
,es_20200422164046972616,ref_15064709
,es_20200422164046972616,ref_27852792
,es_20200422164046972616,ref_29978331
,es_20200422164046972616,ref_24358147
,es_20200422164053017384,ref_19942684
,es_20200422164053017384,ref_19996105
,es_20200422164100631571,ref_30686770
,es_20200422164100631571,ref_29789716
