field,editDate,editorId,graph_id
synonyms_jax_gene_939,2020-06-04-11-54-58-940908,user_20200422163431232329,esl_20200604115458940908
synonyms_jax_gene_5159,2020-06-04-11-54-58-940971,user_20200422163431232329,esl_20200604115458940971
synonyms_jax_gene_466,2020-06-04-11-54-58-941005,user_20200422163431232329,esl_20200604115458941005
synonyms_jax_gene_387,2020-06-04-11-54-58-941031,user_20200422163431232329,esl_20200604115458941031
synonyms_jax_gene_115294,2020-06-04-11-54-58-941059,user_20200422163431232329,esl_20200604115458941059
synonyms_jax_gene_1399,2020-06-04-11-54-58-941081,user_20200422163431232329,esl_20200604115458941081
synonyms_jax_gene_6775,2020-06-04-11-54-58-941104,user_20200422163431232329,esl_20200604115458941104
synonyms_jax_gene_4318,2020-06-04-11-54-58-941128,user_20200422163431232329,esl_20200604115458941128
synonyms_jax_gene_1663,2020-06-04-11-54-58-941154,user_20200422163431232329,esl_20200604115458941154
synonyms_jax_gene_58508,2020-06-04-11-54-58-941180,user_20200422163431232329,esl_20200604115458941180
synonyms_jax_gene_9253,2020-06-04-11-54-58-941206,user_20200422163431232329,esl_20200604115458941206
synonyms_jax_gene_6667,2020-06-04-11-54-58-941236,user_20200422163431232329,esl_20200604115458941236
synonyms_jax_gene_597,2020-06-04-11-54-58-941258,user_20200422163431232329,esl_20200604115458941258
synonyms_jax_gene_51284,2020-06-04-11-54-58-941289,user_20200422163431232329,esl_20200604115458941289
synonyms_jax_gene_1233,2020-06-04-11-54-58-941313,user_20200422163431232329,esl_20200604115458941313
synonyms_jax_gene_2624,2020-06-04-11-54-58-941343,user_20200422163431232329,esl_20200604115458941343
synonyms_jax_gene_26585,2020-06-04-11-54-58-941370,user_20200422163431232329,esl_20200604115458941370
synonyms_jax_gene_200186,2020-06-04-11-54-58-941435,user_20200422163431232329,esl_20200604115458941435
synonyms_jax_gene_54985,2020-06-04-11-54-58-941461,user_20200422163431232329,esl_20200604115458941461
synonyms_jax_gene_578,2020-06-04-11-54-58-941485,user_20200422163431232329,esl_20200604115458941485
synonyms_jax_gene_4089,2020-06-04-11-54-58-941512,user_20200422163431232329,esl_20200604115458941512
synonyms_jax_gene_11160,2020-06-04-11-54-58-941540,user_20200422163431232329,esl_20200604115458941540
synonyms_jax_gene_7430,2020-06-04-11-54-58-941568,user_20200422163431232329,esl_20200604115458941568
synonyms_jax_gene_4070,2020-06-04-11-54-58-941595,user_20200422163431232329,esl_20200604115458941595
synonyms_jax_gene_3832,2020-06-04-11-54-58-941625,user_20200422163431232329,esl_20200604115458941625
synonyms_jax_gene_581,2020-06-04-11-54-58-941653,user_20200422163431232329,esl_20200604115458941653
synonyms_jax_gene_4436,2020-06-04-11-54-58-941676,user_20200422163431232329,esl_20200604115458941676
synonyms_jax_gene_9245,2020-06-04-11-54-58-941705,user_20200422163431232329,esl_20200604115458941705
synonyms_jax_gene_9212,2020-06-04-11-54-58-941733,user_20200422163431232329,esl_20200604115458941733
synonyms_jax_gene_23512,2020-06-04-11-54-58-941768,user_20200422163431232329,esl_20200604115458941768
synonyms_jax_gene_2798,2020-06-04-11-54-58-941809,user_20200422163431232329,esl_20200604115458941809
