name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonymsString_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
NUP93,NUP93,es_20200528094908948000,es_20200422174140322370,es_20200422174140322387,geneInfo_gene_9688,jax_gene_9688,uniprot_Q8N1F7,omnigene_9688
PAX3,PAX3,es_20200528115529848000,es_20200422174223782237,es_20200422174223782254,geneInfo_gene_5077,jax_gene_5077,uniprot_P23760,omnigene_5077
PIK3CA,PIK3CA,es_20200430113022554000,es_20200422174303746744,es_20200422174303746764,geneInfo_gene_5290,jax_gene_5290,uniprot_P42336,omnigene_5290
PAK1,PAK1,es_2020052810183522000,es_20200422174145888535,es_20200422174145888553,geneInfo_gene_5058,jax_gene_5058,uniprot_Q13153,omnigene_5058
PAK5,PAK7,es_20200427111702252000,es_20200422174149904315,es_20200422174149904332,geneInfo_gene_57144,jax_gene_57144,uniprot_Q9P286,omnigene_57144
PALB2,PALB2,es_20200528105512713000,es_20200422174155805781,es_20200422174155805799,geneInfo_gene_79728,jax_gene_79728,uniprot_Q86YC2,omnigene_79728
PAX7,PAX7,es_20200528120514617000,es_20200422174228656652,es_20200422174228656668,geneInfo_gene_5081,jax_gene_5081,uniprot_P23759,omnigene_5081
PRKN,PARK2,es_20200427111718529000,es_20200422174208606693,es_20200422174208606711,geneInfo_gene_5071,jax_gene_5071,uniprot_O60260,omnigene_5071
PBRM1,PBRM1,es_20200528143439883000,es_20200422174233191529,es_20200422174233191548,geneInfo_gene_55193,jax_gene_55193,uniprot_Q86U86,omnigene_55193
PARP1,PARP1,es_20200528113103368000,es_20200422174220242961,es_20200422174220242979,geneInfo_gene_142,jax_gene_142,uniprot_P09874,omnigene_142
PAX8,PAX8,es_20200528142256109000,es_20200422174230240267,es_20200422174230240285,geneInfo_gene_7849,jax_gene_7849,uniprot_Q06710,omnigene_7849
PAX5,PAX5,es_20200511094136862000,es_20200422174226553852,es_20200422174226553869,geneInfo_gene_5079,jax_gene_5079,uniprot_Q02548,omnigene_5079
PDGFRB,PDGFRB,es_20200528144054636000,es_20200422174243741668,es_20200422174243741685,geneInfo_gene_5159,jax_gene_5159,uniprot_P09619,omnigene_5159
PDPK1,PDPK1,es_20200528151628833000,es_20200422174248353668,es_20200422174248353687,geneInfo_gene_5170,jax_gene_5170,uniprot_O15530,omnigene_5170
PIK3C2B,PIK3C2B,es_20200528155006701000,es_20200422174256004643,es_20200422174256004659,geneInfo_gene_5287,jax_gene_5287,uniprot_O00750,omnigene_5287
PDCD1LG2,PDCD1LG2,es_20200423071847199646,es_20200422174238551128,es_20200422174238551151,geneInfo_gene_80380,jax_gene_80380,uniprot_Q9BQ51,omnigene_80380
PHF6,PHF6,es_20200528152919531000,es_20200422174252173399,es_20200422174252173418,geneInfo_gene_84295,jax_gene_84295,uniprot_Q8IWS0,omnigene_84295
