id,name,JaxGene_graph_id
,SMG-6,jax_gene_23293
,CAD11,jax_gene_1009
,CDHOB,jax_gene_1009
,ESWS,jax_gene_1009
,OB,jax_gene_1009
,OSF-4,jax_gene_1009
,ALPHA-PAL,jax_gene_4899
,APRIN,jax_gene_23047
,AS3,jax_gene_23047
,CG008,jax_gene_23047
,MSK1,jax_gene_9252
,MSPK1,jax_gene_9252
,RLPK,jax_gene_9252
,MPF,jax_gene_10232
,SMRP,jax_gene_10232
,LGS,jax_gene_607
,CHN,jax_gene_8013
,CSMF,jax_gene_8013
,MINOR,jax_gene_8013
,NOR1,jax_gene_8013
,TEC,jax_gene_8013
,CCO,jax_gene_6261
,MHS,jax_gene_6261
,MHS1,jax_gene_6261
,PPP1R137,jax_gene_6261
,RYDR,jax_gene_6261
,RYR,jax_gene_6261
,RYR-1,jax_gene_6261
,SKRR,jax_gene_6261
,LAAT-1,jax_gene_54896
,LAAT1,jax_gene_54896
,PQLC2,jax_gene_54896
,cig42,jax_gene_3433
,G10P2,jax_gene_3433
,GARG-39,jax_gene_3433
,IFI-54,jax_gene_3433
,IFI-54K,jax_gene_3433
,IFI54,jax_gene_3433
,IFIT-2,jax_gene_3433
,ISG-54 K,jax_gene_3433
,ISG-54K,jax_gene_3433
,ISG54,jax_gene_3433
,P54,jax_gene_3433
,CCRK,jax_gene_23552
,CDCH,jax_gene_23552
,P42,jax_gene_23552
,PNQALRE,jax_gene_23552
,A-RAF,jax_gene_369
,ARAF1,jax_gene_369
,PKS2,jax_gene_369
,RAFA1,jax_gene_369
,humS6PKh1,jax_gene_26750
,RPK118,jax_gene_26750
,RSKL1,jax_gene_26750
,S6K-delta-1,jax_gene_26750
,S6PKh1,jax_gene_26750
,H3.4,jax_gene_8290
,H3/g,jax_gene_8290
,H3FT,jax_gene_8290
,H3t,jax_gene_8290
,HIST3H3,jax_gene_8290
,MCT2,jax_gene_9194
,CycC,jax_gene_892
,hSRB11,jax_gene_892
,SRB11,jax_gene_892
,ACLS,jax_gene_2737
,GCPS,jax_gene_2737
,GLI3-190,jax_gene_2737
,GLI3FL,jax_gene_2737
,PAP-A,jax_gene_2737
,PAPA,jax_gene_2737
,PAPA1,jax_gene_2737
,PAPB,jax_gene_2737
,PHS,jax_gene_2737
,PPDIV,jax_gene_2737
,FRS1A,jax_gene_10818
,FRS2A,jax_gene_10818
,FRS2alpha,jax_gene_10818
,SNT,jax_gene_10818
,SNT-1,jax_gene_10818
,SNT1,jax_gene_10818
,FXR1P,jax_gene_8087
,GCP-1,jax_gene_3576
,GCP1,jax_gene_3576
,IL8,jax_gene_3576
,LECT,jax_gene_3576
